location	Latitude	Longitude
Denham city	46.36	-92.94
Dennison city	44.41	-93.03
Dent city	46.55	-95.72
Detroit Lakes city	46.8	-95.84
Dexter city	43.72	-92.7
Dilworth city	46.88	-96.7
Dodge Center city	44.03	-92.85
Donaldson city	48.58	-96.9
Donnelly city	45.69	-96.01
Doran city	46.19	-96.49
Dover city	43.97	-92.13
Dovray city	44.05	-95.55
Duluth city	46.78	-92.12
Dumont city	45.72	-96.42
Dundas city	44.43	-93.2
Dundee city	43.84	-95.47
Dunnell city	43.56	-94.77
Eagan city	44.82	-93.16
Eagle Bend city	46.16	-95.03
Eagle Lake city	44.16	-93.88
East Bethel city	45.36	-93.2
East Grand Forks city	47.93	-97.01
East Gull Lake city	46.41	-94.36
Easton city	43.77	-93.9
Ebro	47.49	-95.54
Echo city	44.62	-95.41
Eden Prairie city	44.85	-93.46
Eden Valley city	45.33	-94.55
Edgerton city	43.88	-96.13
Edina city	44.89	-93.36
Effie city	47.84	-93.64
Eitzen city	43.51	-91.46
Elba city	44.09	-92.02
Elbow Lake	47.15	-95.54
Elbow Lake city	45.99	-95.98
Elgin city	44.13	-92.25
Elizabeth city	46.38	-96.13
Elk River city	45.33	-93.57
Elko New Market city	44.57	-93.34
Elkton city	43.66	-92.71
Ellendale city	43.87	-93.3
Ellsworth city	43.52	-96.02
Elmdale city	45.83	-94.49
Elmore city	43.51	-94.09
Elrosa city	45.56	-94.95
Ely city	47.91	-91.85
Elysian city	44.21	-93.68
Emily city	46.76	-93.97
Emmons city	43.51	-93.49
Erhard city	46.48	-96.1
Erskine city	47.67	-96.02
Esko	46.71	-92.37
Evan city	44.35	-94.84
Evansville city	46.01	-95.69
Eveleth city	47.46	-92.54
Excelsior city	44.9	-93.57
Eyota city	43.99	-92.23
Fairfax city	44.53	-94.72
Fairhaven	45.32	-94.2
Fairmont city	43.64	-94.46
Falcon Heights city	44.99	-93.18
Faribault city	44.3	-93.28
Farmington city	44.66	-93.17
Farwell city	45.75	-95.62
Federal Dam city	47.24	-94.21
Felton city	47.07	-96.51
Fergus Falls city	46.29	-96.08
Fertile city	47.53	-96.29
Fifty Lakes city	46.76	-94.09
Finland	47.44	-91.27
Finlayson city	46.21	-92.92
Fish Lake	43.84	-95.05
Fisher city	47.8	-96.8
Flensburg city	45.95	-94.53
Floodwood city	46.92	-92.92
Florence city	44.24	-96.05
Foley city	45.66	-93.91
Forada city	45.79	-95.36
Forest Lake city	45.25	-92.96
Foreston city	45.73	-93.71
Fort Ripley city	46.17	-94.36
Fosston city	47.58	-95.76
Fountain city	43.74	-92.13
Foxhome city	46.28	-96.31
Franklin city	44.53	-94.89
Frazee city	46.73	-95.7
Freeborn city	43.77	-93.56
Freeport city	45.66	-94.69
Fridley city	45.08	-93.26
Frontenac	44.51	-92.35
Frost city	43.58	-93.93
Fulda city	43.87	-95.6
Funkley city	47.79	-94.43
Garden City	44.05	-94.17
Garfield city	45.94	-95.49
Garrison city	46.3	-93.83
Garvin city	44.21	-95.76
Gary city	47.37	-96.27
Gaylord city	44.56	-94.21
Gem Lake city	45.06	-93.04
Geneva city	43.82	-93.27
Genola city	45.97	-94.11
Georgetown city	47.08	-96.8
Ghent city	44.51	-95.89
Gibbon city	44.54	-94.52
Gilbert city	47.49	-92.46
Gilman city	45.74	-93.95
Glencoe city	44.77	-94.15
Glenville city	43.57	-93.28
Glenwood city	45.65	-95.36
Glyndon city	46.87	-96.58
Golden Valley city	44.99	-93.36
Gonvick city	47.74	-95.51
Good Thunder city	44.01	-94.07
Goodhue city	44.4	-92.63
Goodridge city	48.14	-95.8
Goodview city	44.07	-91.72
Graceville city	45.57	-96.44
Granada city	43.69	-94.35
Grand Marais city	47.76	-90.34
Grand Meadow city	43.71	-92.57
Grand Rapids city	47.24	-93.53
Granite Falls city	44.81	-95.54
Grant city	45.08	-92.91
Grasston city	45.8	-93.15
Green Isle city	44.68	-94.01
Greenbush city	48.7	-96.18
Greenfield city	45.1	-93.69
Greenwald city	45.6	-94.86
Greenwood city	44.91	-93.55
Grey Eagle city	45.82	-94.75
Grove City city	45.15	-94.68
Grygla city	48.3	-95.62
Gully city	47.77	-95.62
Hackensack city	46.93	-94.52
Hadley city	44	-95.86
Hallock city	48.77	-96.94
Halma city	48.66	-96.6
