location	Latitude	Longitude
Winton city	47.93	-91.8
Wolf Lake city	46.81	-95.35
Wolverton city	46.56	-96.74
Wood Lake city	44.65	-95.54
Woodbury city	44.91	-92.92
Woodland city	44.95	-93.51
Woodstock city	44.01	-96.1
Worthington city	43.63	-95.6
Wrenshall city	46.62	-92.38
Wright city	46.67	-93.01
Wykoff city	43.71	-92.27
Wyoming city	45.34	-92.98
Zemple city	47.32	-93.78
Zimmerman city	45.44	-93.6
Zumbro Falls city	44.28	-92.43
Zumbrota city	44.29	-92.67
